dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
28_pendigits,t100,114,mad,0,0.75000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,1,1.25000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,2,2.00000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,3,2.00000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,4,3.00000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,5,3.00000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,6,1.25000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,7,3.00000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,8,5.00000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,9,5.00000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,10,0.75000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,11,3.00000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,12,5.00000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,13,3.00000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,14,0.75000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,114,mad,15,8.00000000,0.96196878,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
