dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
26_optdigits,t100,128,mad,1,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,2,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,3,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,4,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,5,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,6,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,7,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,8,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,9,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,10,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,11,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,12,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,13,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,14,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,15,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,16,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,17,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,18,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,19,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,20,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,21,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,22,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,23,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,24,0.00000000,0.77410436,"NONRELEVANT:BINARY_FIXED_0_1"
26_optdigits,t100,128,mad,25,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,26,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,27,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,28,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,29,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,30,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,31,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,32,0.00000000,0.77410436,"NONRELEVANT:BINARY_FIXED_0_1"
26_optdigits,t100,128,mad,33,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,34,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,35,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,36,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,37,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,38,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,40,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,41,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,42,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,43,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,44,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,45,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,46,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,47,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,48,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,49,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,50,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,51,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,52,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,53,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,54,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,55,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,56,0.00000000,0.77410436,"NONRELEVANT:BINARY_FIXED_0_1"
26_optdigits,t100,128,mad,57,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,58,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,59,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,60,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,61,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,62,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
26_optdigits,t100,128,mad,63,0.00000000,0.77410436,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
