dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
8_celeba,t100,109,mad,0,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,1,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,2,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,3,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,4,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,5,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,6,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,7,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,8,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,9,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,10,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,11,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,12,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,13,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,14,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,15,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,16,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,17,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,18,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,19,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,20,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,21,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,22,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,23,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,24,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,25,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,26,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,27,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,28,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,29,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,30,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,31,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,32,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,33,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,34,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,35,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,36,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,37,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,109,mad,38,0.00000000,0.77153039,"NONRELEVANT:BINARY_FIXED_0_1"
