dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
28_pendigits,t100,109,mad,0,0.50000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,1,3.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,2,3.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,3,3.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,4,3.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,5,3.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,6,1.50000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,7,3.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,8,6.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,9,6.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,10,3.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,11,6.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,12,10.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,13,2.50000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,14,1.50000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
28_pendigits,t100,109,mad,15,3.00000000,0.95511299,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
