dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
25_musk,t100,142,mad,0,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,1,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,2,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,3,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,4,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,5,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,6,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,7,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,8,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,9,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,10,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,11,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,12,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,13,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,14,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,15,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,16,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,17,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,18,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,19,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,20,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,21,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,22,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,23,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,24,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,25,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,26,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,27,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,28,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,29,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,30,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,31,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,32,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,33,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,34,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,35,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,36,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,37,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,38,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,39,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,40,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,41,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,42,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,43,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
25_musk,t100,142,mad,44,3.00000000,1.00000000,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
