dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
19_landsat,t100,111,mad,0,0.75000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,1,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,2,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,3,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,4,8.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,5,2.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,6,8.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,7,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,8,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,9,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,10,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,11,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,12,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,13,8.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,14,8.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,15,8.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,16,1.25000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,17,2.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,18,8.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,19,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,20,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,21,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,22,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,23,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,24,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,25,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,26,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,27,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,28,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,29,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,30,8.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,31,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,32,1.25000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,33,8.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,34,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
19_landsat,t100,111,mad,35,3.00000000,0.61790168,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
