dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
35_SpamBase,t100,118,mad,0,2.50000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,1,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,2,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,3,0.00000000,0.67461592,"NONRELEVANT:BINARY_FIXED_0_1"
35_SpamBase,t100,118,mad,4,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,5,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,6,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,7,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,8,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,9,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,10,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,11,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,12,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,13,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,14,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,15,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,16,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,17,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,18,2.50000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,19,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,20,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,21,0.00000000,0.67461592,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,118,mad,22,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,23,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,24,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,25,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,26,0.00000000,0.67461592,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,118,mad,27,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,28,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,118,mad,29,0.00000000,0.67461592,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,118,mad,30,3.00000000,0.67461592,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
