dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
40_vowels,t100,130,mad,0,3.00000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,130,mad,1,1.00000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,130,mad,2,0.50000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,130,mad,3,1.50000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,130,mad,4,1.25000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,130,mad,5,3.00000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,130,mad,6,3.00000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,130,mad,7,3.00000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,130,mad,8,0.75000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,130,mad,9,3.00000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,130,mad,10,3.00000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
40_vowels,t100,130,mad,11,0.75000000,0.97533208,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
