dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
30_satellite,t100,127,mad,0,8.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,1,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,2,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,3,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,4,8.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,5,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,6,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,7,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,8,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,9,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,10,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,11,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,12,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,13,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,14,8.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,15,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,16,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,17,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,18,8.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,19,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,20,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,21,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,22,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,23,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,24,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,25,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,26,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,27,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,28,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,29,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,30,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,31,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,32,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,33,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,34,3.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
30_satellite,t100,127,mad,35,8.00000000,0.72556633,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
