dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
22_magic.gamma,t100,129,mad,0,8.00000000,0.73727900,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,129,mad,1,2.00000000,0.73727900,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,129,mad,2,1.25000000,0.73727900,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,129,mad,3,3.00000000,0.73727900,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,129,mad,4,5.00000000,0.73727900,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,129,mad,5,3.00000000,0.73727900,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,129,mad,6,5.00000000,0.73727900,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,129,mad,7,5.00000000,0.73727900,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,129,mad,8,8.00000000,0.73727900,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,129,mad,9,8.00000000,0.73727900,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
