dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
5_campaign,t100,144,mad,0,0.00000000,0.70107698,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
5_campaign,t100,144,mad,1,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,2,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,3,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,4,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,5,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,6,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,7,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,8,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,9,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,10,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,11,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,12,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,13,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,14,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,15,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,16,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,17,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,18,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,19,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,20,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,21,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,22,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,23,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
5_campaign,t100,144,mad,24,0.00000000,0.70107698,"NONRELEVANT:BINARY_FIXED_0_1"
