dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
43_WDBC,t100,140,mad,0,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,1,0.50000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,2,4.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,3,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,4,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,5,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,6,2.50000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,7,0.50000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,8,4.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,9,1.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,10,6.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,11,1.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,12,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,13,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,14,1.50000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,15,1.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,16,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,17,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,18,2.50000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,19,2.50000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,20,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,21,1.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,22,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,23,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,24,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,25,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,26,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,27,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,28,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,140,mad,29,3.00000000,0.76515150,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
