dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
12_fault,t100,128,mad,0,10.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,1,2.50000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,2,2.50000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,3,4.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,4,3.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,5,3.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,6,6.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,7,6.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,8,3.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,9,3.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,10,6.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,11,0.00000000,0.74923801,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,128,mad,12,0.00000000,0.74923801,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,128,mad,13,0.00000000,0.74923801,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,128,mad,14,3.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,15,3.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,16,6.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,17,3.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,18,2.50000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,19,6.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,20,0.00000000,0.74923801,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,128,mad,21,6.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,22,3.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,23,10.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,24,10.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,25,3.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,128,mad,26,3.00000000,0.74923801,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
