dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
43_WDBC,t100,138,mad,0,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,1,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,2,2.50000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,3,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,4,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,5,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,6,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,7,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,8,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,9,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,10,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,11,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,12,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,13,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,14,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,15,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,16,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,17,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,18,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,19,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,20,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,21,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,22,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,23,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,24,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,25,6.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,26,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,27,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,28,10.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
43_WDBC,t100,138,mad,29,3.00000000,0.77272725,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
