dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
11_donors,t100,150,mad,0,0.00000000,0.92566097,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
11_donors,t100,150,mad,1,0.00000000,0.92566097,"NONRELEVANT:BINARY_FIXED_0_1"
11_donors,t100,150,mad,2,0.00000000,0.92566097,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
11_donors,t100,150,mad,3,0.00000000,0.92566097,"NONRELEVANT:BINARY_FIXED_0_1"
11_donors,t100,150,mad,4,0.00000000,0.92566097,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
11_donors,t100,150,mad,5,0.00000000,0.92566097,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
11_donors,t100,150,mad,6,0.00000000,0.92566097,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
11_donors,t100,150,mad,7,0.00000000,0.92566097,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
11_donors,t100,150,mad,8,0.00000000,0.92566097,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
11_donors,t100,150,mad,9,0.00000000,0.92566097,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
