dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
10_cover,t100,149,mad,0,0.00000000,0.89831197,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,149,mad,1,0.00000000,0.89831197,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,149,mad,2,0.00000000,0.89831197,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,149,mad,3,0.00000000,0.89831197,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,149,mad,4,0.00000000,0.89831197,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,149,mad,5,8.00000000,0.89831197,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
10_cover,t100,149,mad,6,0.00000000,0.89831197,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,149,mad,7,0.00000000,0.89831197,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,149,mad,8,0.00000000,0.89831197,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,149,mad,9,1.50000000,0.89831197,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
