dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
35_SpamBase,t100,112,zscore,0,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,1,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,2,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,3,0.00000000,0.80698806,"NONRELEVANT:BINARY_FIXED_0_1"
35_SpamBase,t100,112,zscore,4,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,5,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,6,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,7,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,8,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,9,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,10,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,11,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,12,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,13,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,14,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,15,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,16,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,17,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,18,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,19,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,20,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,21,0.00000000,0.80698806,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,112,zscore,22,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,23,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,24,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,25,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,26,0.00000000,0.80698806,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,112,zscore,27,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,28,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,29,0.00000000,0.80698806,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,112,zscore,30,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,31,0.00000000,0.80698806,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,112,zscore,32,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,33,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,34,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,35,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,36,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,37,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,38,0.00000000,0.80698806,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,112,zscore,39,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,40,0.00000000,0.80698806,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,112,zscore,41,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,42,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,43,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,44,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,45,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,46,0.00000000,0.80698806,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,112,zscore,47,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,48,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,49,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,50,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,51,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,52,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,53,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,54,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,55,3.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,112,zscore,56,6.00000000,0.80698806,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
