dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
6_cardio,t100,117,zscore,0,10.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,1,10.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,2,10.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,3,3.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,4,10.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,5,0.00000000,0.80028760,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
6_cardio,t100,117,zscore,6,3.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,7,3.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,8,2.50000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,9,10.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,10,10.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,11,3.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,12,3.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,13,3.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,14,0.00000000,0.80028760,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
6_cardio,t100,117,zscore,15,0.00000000,0.80028760,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
6_cardio,t100,117,zscore,16,3.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,17,6.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,18,3.00000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,19,1.50000000,0.80028760,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
6_cardio,t100,117,zscore,20,0.00000000,0.80028760,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
