dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
13_fraud,t100,121,zscore,0,0.75000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,1,0.75000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,2,8.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,3,5.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,4,8.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,5,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,6,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,7,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,8,2.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,9,5.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,10,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,11,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,12,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,13,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,14,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,15,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,16,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,17,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,18,5.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,19,8.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,20,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,21,8.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,22,8.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,23,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,24,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,25,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,26,3.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,27,8.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
13_fraud,t100,121,zscore,28,8.00000000,0.94423628,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
