dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
35_SpamBase,t100,150,zscore,0,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,1,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,2,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,3,0.00000000,0.80161560,"NONRELEVANT:BINARY_FIXED_0_1"
35_SpamBase,t100,150,zscore,4,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,5,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,6,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,7,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,8,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,9,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,10,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,11,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,12,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,13,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,14,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,15,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,16,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,17,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,18,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,19,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,20,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,21,0.00000000,0.80161560,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,150,zscore,22,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,23,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,24,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,25,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,26,0.00000000,0.80161560,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,150,zscore,27,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,28,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,29,0.00000000,0.80161560,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,150,zscore,30,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,31,0.00000000,0.80161560,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,150,zscore,32,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,33,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,34,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,35,3.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,36,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,37,10.00000000,0.80161560,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,150,zscore,38,0.00000000,0.80161560,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
