dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
22_magic.gamma,t100,130,zscore,0,1.25000000,0.76301855,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,130,zscore,1,8.00000000,0.76301855,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,130,zscore,2,1.25000000,0.76301855,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,130,zscore,3,3.00000000,0.76301855,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,130,zscore,4,3.00000000,0.76301855,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,130,zscore,5,8.00000000,0.76301855,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,130,zscore,6,5.00000000,0.76301855,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,130,zscore,7,5.00000000,0.76301855,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,130,zscore,8,3.00000000,0.76301855,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
22_magic.gamma,t100,130,zscore,9,1.25000000,0.76301855,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
