dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
35_SpamBase,t100,132,zscore,0,1.50000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,1,1.50000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,2,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,3,0.00000000,0.80596393,"NONRELEVANT:BINARY_FIXED_0_1"
35_SpamBase,t100,132,zscore,4,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,5,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,6,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,7,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,8,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,9,1.50000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,10,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,11,1.50000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,12,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,13,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,14,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,15,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,16,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,17,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,18,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,19,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,20,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,21,0.00000000,0.80596393,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,132,zscore,22,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,23,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,24,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,25,1.50000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,26,0.00000000,0.80596393,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
35_SpamBase,t100,132,zscore,27,3.00000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,28,1.50000000,0.80596393,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
35_SpamBase,t100,132,zscore,29,0.00000000,0.80596393,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
