dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
20_letter,t100,138,zscore,0,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,1,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,2,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,3,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,4,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,5,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,6,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,7,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,8,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,9,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,10,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,11,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,12,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,13,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,14,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,15,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,16,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,17,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,18,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,19,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,20,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,21,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,22,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,23,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,24,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,25,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,26,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,27,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,28,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,29,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,30,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
20_letter,t100,138,zscore,31,0.00000000,0.66691196,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
