dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
12_fault,t100,119,zscore,0,2.50000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,1,2.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,2,1.25000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,3,3.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,4,0.75000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,5,5.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,6,0.75000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,7,2.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,8,5.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,9,2.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,10,3.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,11,0.00000000,0.72227460,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,119,zscore,12,0.00000000,0.72227460,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,119,zscore,13,0.00000000,0.72227460,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,119,zscore,14,2.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,15,3.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,16,3.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,17,3.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,18,3.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,19,2.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,20,0.00000000,0.72227460,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,119,zscore,21,1.25000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,22,1.25000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,23,2.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,24,3.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,25,2.00000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
12_fault,t100,119,zscore,26,0.75000000,0.72227460,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
