dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
10_cover,t100,134,zscore,0,0.00000000,0.88528609,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,134,zscore,1,0.00000000,0.88528609,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,134,zscore,2,0.00000000,0.88528609,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,134,zscore,3,0.00000000,0.88528609,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,134,zscore,4,0.00000000,0.88528609,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,134,zscore,5,6.00000000,0.88528609,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
10_cover,t100,134,zscore,6,0.00000000,0.88528609,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,134,zscore,7,0.00000000,0.88528609,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,134,zscore,8,0.00000000,0.88528609,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
10_cover,t100,134,zscore,9,1.50000000,0.88528609,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
