dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
46_WPBC,t100,148,zscore,0,1.25000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,1,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,2,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,3,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,4,0.75000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,5,5.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,6,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,7,1.25000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,8,1.25000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,9,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,10,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,11,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,12,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,13,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,14,1.25000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,15,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,16,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,17,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,18,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,19,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,20,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,21,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,22,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,23,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,24,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,25,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,26,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,27,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,28,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,29,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,30,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,31,3.00000000,0.57083333,"0.5;0.75;1;1.25;1.5;2;2.5;3;4;5;6;8;10"
46_WPBC,t100,148,zscore,32,0.00000000,0.57083333,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
