dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
12_fault,t100,141,adjusted,0,3.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,1,1.50000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,2,3.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,3,3.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,4,2.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,5,2.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,6,3.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,7,2.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,8,1.50000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,9,1.50000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,10,1.50000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,11,0.00000000,0.69382048,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,141,adjusted,12,0.00000000,0.69382048,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,141,adjusted,13,0.00000000,0.69382048,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,141,adjusted,14,1.50000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,15,1.50000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,16,1.50000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,17,1.50000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,18,3.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,19,1.50000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,20,0.00000000,0.69382048,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,141,adjusted,21,3.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,22,3.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,23,2.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,24,3.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,25,3.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,141,adjusted,26,1.00000000,0.69382048,"0.75;1;1.25;1.5;1.75;2;2.5;3"
