dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
8_celeba,t100,12,adjusted,0,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,1,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,2,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,3,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,4,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,5,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,6,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,7,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,8,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,9,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,10,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,11,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,12,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,13,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,14,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,15,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,16,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,17,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,18,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,19,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,20,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,21,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,22,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,23,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,24,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,25,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,26,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,27,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,28,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,29,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,30,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,31,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,32,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,33,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,34,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,35,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,36,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,37,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
8_celeba,t100,12,adjusted,38,0.00000000,0.74029992,"NONRELEVANT:BINARY_FIXED_0_1"
