dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
36_speech,t100,14,adjusted,0,1.50000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,1,1.50000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,2,1.50000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,3,1.50000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,4,1.00000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,5,3.00000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,6,0.75000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,7,1.75000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,8,3.00000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,9,0.75000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,10,3.00000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,11,3.00000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,12,1.75000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,13,1.50000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,14,1.50000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,15,3.00000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,14,adjusted,16,0.75000000,0.98362195,"0.75;1;1.25;1.5;1.75;2;2.5;3"
