dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
1_ALOI,t100,124,adjusted,0,1.75000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,1,1.75000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,2,1.25000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,3,1.75000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,4,1.75000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,5,1.25000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,6,1.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,7,1.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,8,1.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,9,1.75000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,10,2.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,11,0.00000000,0.55051553,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
1_ALOI,t100,124,adjusted,12,1.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,13,0.75000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,14,1.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,15,1.25000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,16,0.75000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,17,1.75000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,18,2.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,19,0.75000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,20,0.00000000,0.55051553,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
1_ALOI,t100,124,adjusted,21,2.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,22,2.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,23,2.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,24,2.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,25,2.50000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
1_ALOI,t100,124,adjusted,26,1.75000000,0.55051553,"0.75;1;1.25;1.5;1.75;2;2.5;3"
