dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
6_cardio,t100,13,adjusted,0,1.75000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,1,2.00000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,2,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,3,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,4,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,5,0.00000000,0.90277778,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
6_cardio,t100,13,adjusted,6,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,7,2.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,8,1.75000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,9,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,10,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,11,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,12,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,13,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,14,0.00000000,0.90277778,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
6_cardio,t100,13,adjusted,15,0.00000000,0.90277778,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
6_cardio,t100,13,adjusted,16,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,17,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,18,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,19,1.50000000,0.90277778,"0.75;1.0;1.25;1.5;1.75;2.0;2.5;3.0"
6_cardio,t100,13,adjusted,20,0.00000000,0.90277778,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
