dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
30_satellite,t100,139,adjusted,0,2.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,1,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,2,2.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,3,1.25000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,4,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,5,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,6,2.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,7,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,8,1.25000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,9,1.25000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,10,1.75000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,11,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,12,2.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,13,1.75000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,14,2.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,15,1.75000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,16,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,17,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,18,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,19,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,20,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,21,1.75000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,22,1.75000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,23,1.25000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,24,1.75000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,25,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,26,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,27,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,28,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,29,1.75000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,30,1.75000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,31,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,32,1.75000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,33,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,34,1.50000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
30_satellite,t100,139,adjusted,35,1.75000000,0.88701051,"0.75;1;1.25;1.5;1.75;2;2.5;3"
