dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
12_fault,t100,103,adjusted,0,1.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,1,1.50000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,2,1.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,3,3.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,4,2.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,5,2.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,6,3.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,7,2.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,8,1.50000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,9,1.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,10,2.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,11,0.00000000,0.68385696,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,103,adjusted,12,0.00000000,0.68385696,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,103,adjusted,13,0.00000000,0.68385696,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,103,adjusted,14,1.50000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,15,1.50000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,16,1.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,17,2.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,18,2.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,19,1.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,20,0.00000000,0.68385696,"NONRELEVANT:DISCRETE_FALLBACK_MINMAX"
12_fault,t100,103,adjusted,21,1.50000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,22,1.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,23,2.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,24,1.50000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,25,3.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
12_fault,t100,103,adjusted,26,1.00000000,0.68385696,"0.75;1;1.25;1.5;1.75;2;2.5;3"
